端点 X	端点 Y	端点 Z	起点 X	起点 Y	起点 Z
157.5000	0.0000	77.8000	157.5000	0.0000	75.8000
157.5000	0.0000	75.8000	157.5000	0.0000	73.8000
157.5000	0.0000	73.8000	157.5000	0.0000	71.8000
157.5000	0.0000	83.8000	157.5000	0.0000	81.8000
157.5000	0.0000	81.8000	157.5000	0.0000	79.8000
157.5000	0.0000	79.8000	157.5000	0.0000	77.8000
157.5000	21.0000	-19.1500	157.5000	0.0000	-63.5000
157.5000	-21.0000	-19.1500	157.5000	0.0000	-63.5000
157.5000	0.0000	-63.5000	157.5000	0.0000	-87.0000
157.5000	0.0000	71.8000	157.5000	0.0000	62.2000
157.5000	0.0000	62.2000	157.5000	-21.0000	-19.1500
157.5000	0.0000	62.2000	157.5000	21.0000	-19.1500
157.5000	0.0000	85.8000	157.5000	0.0000	83.8000
157.5000	7.3500	-19.1500	157.5000	21.0000	-19.1500
157.5000	0.0000	110.0000	157.5000	0.0000	104.8000
157.5000	0.0000	104.8000	157.5000	0.0000	97.8000
157.5000	-7.3500	-19.1500	157.5000	0.0000	-19.1500
157.5000	-21.0000	-19.1500	157.5000	-7.3500	-19.1500
157.5000	0.0000	-19.1500	157.5000	7.3500	-19.1500
157.5000	0.0000	91.8000	157.5000	0.0000	89.8000
157.5000	0.0000	89.8000	157.5000	0.0000	87.8000
157.5000	0.0000	87.8000	157.5000	0.0000	85.8000
157.5000	0.0000	97.8000	157.5000	0.0000	95.8000
157.5000	0.0000	95.8000	157.5000	0.0000	93.8000
157.5000	0.0000	93.8000	157.5000	0.0000	91.8000
